incident_severity,insured_hobbies,incident_type,collision_type,incident_state,authorities_contacted,property_claim,vehicle_claim,policy_annual_premium,insured_zip,policy_number,total_claim_amount,months_as_customer,injury_claim,age,insured_occupation,capital-gains,fraud_reported
Minor Damage,basketball,Vehicle Theft,?,WV,,430,3440,1530.52,603993,394975,4300,217,430,39,armed-forces,0,N
Major Damage,movies,Multi-vehicle Collision,Side Collision,NC,Police,12820,44870,1201.41,437818,729634,70510,223,12820,40,priv-house-serv,88400,N
Minor Damage,movies,Parked Car,?,VA,Police,480,1680,1393.57,478423,282195,2640,195,480,39,machine-op-inspct,47600,N
Minor Damage,skydiving,Single Vehicle Collision,Rear Collision,NY,Fire,7890,55230,1276.57,467784,420810,78900,22,15780,26,craft-repair,71500,N
Major Damage,chess,Multi-vehicle Collision,Front Collision,SC,Fire,6270,50160,1082.49,606714,524836,56430,439,0,56,prof-specialty,36100,N
Minor Damage,hiking,Parked Car,?,VA,,300,1800,1414.74,464691,307195,2400,94,300,32,adm-clerical,0,N
Total Loss,yachting,Single Vehicle Collision,Front Collision,WV,Ambulance,7310,51170,1470.06,431683,623648,65790,11,7310,39,other-service,56600,N
Minor Damage,kayaking,Multi-vehicle Collision,Side Collision,VA,Police,5720,45760,870.63,431725,485372,62920,151,11440,36,adm-clerical,94800,N
Major Damage,base-jumping,Multi-vehicle Collision,Rear Collision,NY,Police,0,54040,795.23,609216,598554,69480,154,15440,34,machine-op-inspct,36900,Y
Total Loss,basketball,Multi-vehicle Collision,Side Collision,OH,Other,3690,33210,1168.2,452787,303987,44280,245,7380,44,handlers-cleaners,69100,N
Minor Damage,bungie-jumping,Single Vehicle Collision,Side Collision,WV,Other,11260,39410,993.51,468767,343161,56300,119,5630,32,armed-forces,0,N
Major Damage,video-games,Multi-vehicle Collision,Front Collision,WV,Fire,5710,51390,1848.81,435489,519312,68520,215,11420,42,transport-moving,0,Y
Total Loss,chess,Multi-vehicle Collision,Rear Collision,VA,Fire,6570,45990,1641.73,450149,132902,59130,295,6570,42,sales,62400,Y
Minor Damage,chess,Multi-vehicle Collision,Front Collision,NY,Ambulance,6860,61740,1362.87,458364,332867,82320,254,13720,39,exec-managerial,35700,Y
Minor Damage,paintball,Single Vehicle Collision,Side Collision,SC,Fire,13800,62100,1239.22,476458,356590,89700,107,13800,31,tech-support,43400,Y
Minor Damage,reading,Multi-vehicle Collision,Side Collision,WV,Fire,3770,30160,835.02,602433,346002,33930,478,0,64,adm-clerical,59600,N
Major Damage,movies,Single Vehicle Collision,Front Collision,WV,Ambulance,6230,49840,1061.33,478575,500533,68530,128,12460,30,machine-op-inspct,43300,N
Minor Damage,kayaking,Parked Car,?,NC,,860,2580,1279.08,449718,348209,4300,338,860,49,other-service,0,N
Major Damage,sleeping,Multi-vehicle Collision,Side Collision,SC,Other,6210,49680,1105.49,463181,486676,68310,271,12420,42,prof-specialty,56200,Y
Total Loss,cross-fit,Single Vehicle Collision,Front Collision,WV,Other,6810,47670,1055.53,441992,260845,61290,222,6810,41,armed-forces,37800,Y
Minor Damage,paintball,Single Vehicle Collision,Rear Collision,NC,Ambulance,0,27090,895.83,452597,657045,30100,199,3010,41,sales,0,N
Minor Damage,golf,Multi-vehicle Collision,Rear Collision,SC,Fire,4760,42840,1632.93,614417,761189,57120,215,9520,37,transport-moving,0,N
Minor Damage,yachting,Multi-vehicle Collision,Side Collision,VA,Ambulance,4770,28620,1405.99,472895,175177,42930,192,9540,40,sales,0,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Front Collision,SC,Ambulance,5690,34140,1425.54,475847,116700,51210,120,11380,35,transport-moving,78300,N
Minor Damage,golf,Multi-vehicle Collision,Front Collision,NY,Fire,7450,67050,1038.09,476978,166264,89400,270,14900,45,handlers-cleaners,0,N
Total Loss,dancing,Multi-vehicle Collision,Front Collision,WV,Police,10860,38010,1307.11,600648,527945,59730,319,10860,47,transport-moving,0,N
Minor Damage,kayaking,Vehicle Theft,?,SC,,1240,5580,1489.24,608335,627540,8060,194,1240,39,other-service,0,N
Major Damage,polo,Single Vehicle Collision,Rear Collision,SC,Fire,7220,50540,976.67,471600,279422,72200,227,14440,38,handlers-cleaners,0,Y
Minor Damage,paintball,Multi-vehicle Collision,Side Collision,NC,Ambulance,10160,30480,1340.43,441175,484200,50800,137,10160,31,exec-managerial,52700,N
Trivial Damage,video-games,Vehicle Theft,?,NC,,1320,4620,1267.81,603123,645258,6600,244,660,40,exec-managerial,0,N
Minor Damage,bungie-jumping,Vehicle Theft,?,NY,Police,1500,5250,1234.2,457767,694662,7500,78,750,29,other-service,0,N
Trivial Damage,video-games,Vehicle Theft,?,VA,,1180,4130,1318.06,618498,960680,6490,200,1180,35,exec-managerial,57300,N
Major Damage,movies,Multi-vehicle Collision,Side Collision,NY,Ambulance,11080,44320,769.95,605486,498140,60940,284,5540,48,prof-specialty,0,Y
Major Damage,board-games,Multi-vehicle Collision,Front Collision,NY,Fire,11660,40810,1514.72,617970,498875,58300,275,5830,41,transport-moving,35700,N
Minor Damage,yachting,Multi-vehicle Collision,Front Collision,SC,Other,11400,45600,873.64,432934,798177,68400,153,11400,34,priv-house-serv,800,N
Total Loss,yachting,Single Vehicle Collision,Side Collision,VA,Fire,11680,40880,1612.43,456762,614763,64240,134,11680,32,other-service,36400,N
Trivial Damage,kayaking,Parked Car,?,WV,,470,3290,1318.24,601748,679370,4700,31,940,36,prof-specialty,0,N
Major Damage,exercise,Multi-vehicle Collision,Side Collision,SC,Other,5640,39480,1226.83,607763,958857,45120,41,0,25,exec-managerial,0,Y
Total Loss,board-games,Multi-vehicle Collision,Front Collision,SC,Fire,10300,46350,1326.44,436973,686816,66950,127,10300,29,sales,0,N
Major Damage,exercise,Single Vehicle Collision,Side Collision,NY,Police,17880,71520,1136.83,471300,127754,98340,61,8940,23,tech-support,0,Y
Trivial Damage,yachting,Parked Car,?,WV,,590,4720,1322.78,453277,918629,5900,207,590,42,farming-fishing,55200,N
Major Damage,exercise,Multi-vehicle Collision,Front Collision,NC,Ambulance,11780,53010,1483.25,465100,731450,70680,219,5890,43,exec-managerial,90700,N
Total Loss,hiking,Multi-vehicle Collision,Rear Collision,SC,Ambulance,8520,68160,1515.3,603248,307447,93720,271,17040,42,machine-op-inspct,0,N
Minor Damage,exercise,Vehicle Theft,?,OH,,630,5040,1075.18,601112,992145,6930,80,1260,25,armed-forces,67700,N
Major Damage,hiking,Single Vehicle Collision,Side Collision,VA,Fire,6630,59670,1690.27,438830,900628,72930,325,6630,47,protective-serv,61500,Y
Minor Damage,skydiving,Multi-vehicle Collision,Rear Collision,SC,Other,7210,50470,1352.83,464959,235220,64890,29,7210,25,farming-fishing,0,Y
Trivial Damage,kayaking,Parked Car,?,WV,,900,3600,1148.73,439787,740019,5400,295,900,48,machine-op-inspct,0,N
Trivial Damage,reading,Vehicle Theft,?,NC,,700,4200,969.5,464839,246882,5600,239,700,42,exec-managerial,0,N
Minor Damage,yachting,Single Vehicle Collision,Rear Collision,SC,Police,15860,47580,1463.82,448984,797613,79300,269,15860,41,protective-serv,0,N
Major Damage,exercise,Single Vehicle Collision,Side Collision,WV,Police,5280,36960,1474.17,440327,193442,52800,80,10560,27,tech-support,0,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Front Collision,NC,Fire,3600,25200,1497.35,460742,389238,28800,279,0,41,prof-specialty,37300,N
Minor Damage,kayaking,Parked Car,?,WV,Police,330,2310,1427.14,446895,760179,2970,165,330,33,tech-support,35300,N
Total Loss,basketball,Multi-vehicle Collision,Side Collision,SC,Police,7790,70110,1495.1,609374,939905,93480,350,15580,54,other-service,50500,N
Minor Damage,kayaking,Vehicle Theft,?,WV,,480,3360,1141.62,451672,872814,4320,295,480,49,prof-specialty,34300,N
Major Damage,basketball,Multi-vehicle Collision,Rear Collision,VA,Police,19950,53200,1125.37,604450,632627,79800,464,6650,61,prof-specialty,0,Y
Major Damage,camping,Multi-vehicle Collision,Front Collision,WV,Ambulance,14840,51940,1207.36,432896,283414,74200,118,7420,28,handlers-cleaners,0,N
Major Damage,basketball,Single Vehicle Collision,Front Collision,NY,Fire,10860,48870,1338.5,618929,163161,70590,298,10860,47,machine-op-inspct,28800,Y
Major Damage,chess,Multi-vehicle Collision,Rear Collision,NY,Fire,11080,44320,1074.07,451312,853360,60940,87,5540,31,sales,0,Y
Minor Damage,video-games,Single Vehicle Collision,Rear Collision,SC,Police,14940,52290,1337.56,605141,776860,74700,261,7470,42,prof-specialty,0,N
Major Damage,dancing,Single Vehicle Collision,Front Collision,NC,Fire,7000,49000,1298.91,459504,149367,70000,453,14000,60,craft-repair,52600,Y
Total Loss,polo,Multi-vehicle Collision,Rear Collision,WV,Other,14740,51590,1222.75,432781,395269,81070,210,14740,41,exec-managerial,0,N
Major Damage,camping,Multi-vehicle Collision,Side Collision,VA,Other,9620,33670,1059.52,452748,981123,57720,168,14430,32,protective-serv,0,N
Minor Damage,reading,Vehicle Theft,?,VA,,1180,4720,1124.38,618316,143626,7080,390,1180,51,armed-forces,0,N
Total Loss,hiking,Multi-vehicle Collision,Side Collision,NY,Other,9540,33390,1110.37,455365,648397,47700,258,4770,46,machine-op-inspct,34400,Y
Minor Damage,bungie-jumping,Single Vehicle Collision,Rear Collision,SC,Police,9320,32620,1374.22,470603,154982,51260,107,9320,31,machine-op-inspct,62000,N
Major Damage,exercise,Multi-vehicle Collision,Side Collision,NY,Police,12800,51200,1103.58,475292,330591,70400,225,6400,41,exec-managerial,41200,Y
Minor Damage,yachting,Single Vehicle Collision,Rear Collision,NY,Fire,9000,63000,1269.76,467743,319232,90000,164,18000,38,transport-moving,44300,N
Minor Damage,camping,Multi-vehicle Collision,Rear Collision,NY,Police,6620,52960,964.79,460675,531640,72820,245,13240,39,adm-clerical,58000,N
Minor Damage,board-games,Single Vehicle Collision,Side Collision,SC,Fire,13860,41580,1167.3,618123,368050,69300,255,13860,41,priv-house-serv,0,N
Major Damage,video-games,Single Vehicle Collision,Front Collision,NY,Ambulance,12760,51040,1625.45,607452,253791,76560,206,12760,36,other-service,0,Y
Major Damage,skydiving,Single Vehicle Collision,Front Collision,VA,Ambulance,6160,49280,1394.43,606352,155724,55440,203,0,38,other-service,0,Y
Total Loss,movies,Multi-vehicle Collision,Front Collision,NC,Other,17140,51420,1053.24,603527,824540,77130,22,8570,25,prof-specialty,51100,N
Total Loss,paintball,Single Vehicle Collision,Rear Collision,WV,Ambulance,7000,28000,1040.75,445601,717392,42000,211,7000,35,prof-specialty,0,N
Total Loss,dancing,Multi-vehicle Collision,Rear Collision,NY,Ambulance,9900,23100,1302.4,603948,965768,36300,206,3300,39,craft-repair,47200,N
Total Loss,video-games,Single Vehicle Collision,Side Collision,WV,Other,5760,28800,1588.55,435758,414779,40320,166,5760,38,protective-serv,59600,N
Minor Damage,exercise,Parked Car,?,PA,Police,660,2970,1399.26,611586,428230,3960,165,330,32,tech-support,70500,N
Major Damage,basketball,Single Vehicle Collision,Front Collision,NY,Fire,10640,42560,1352.31,465263,517240,63840,274,10640,43,farming-fishing,40700,Y
Major Damage,sleeping,Multi-vehicle Collision,Front Collision,SC,Fire,4970,34790,1139.0,617858,469874,44730,81,4970,28,sales,42400,Y
Minor Damage,camping,Multi-vehicle Collision,Front Collision,NY,Other,14120,56480,1397.67,607889,718428,84720,280,14120,45,machine-op-inspct,57900,N
Major Damage,paintball,Multi-vehicle Collision,Front Collision,WV,Other,12300,43050,823.17,455689,620215,61500,194,6150,39,adm-clerical,0,N
Major Damage,exercise,Multi-vehicle Collision,Front Collision,NC,Ambulance,8500,34000,965.13,450341,618659,51000,112,8500,27,tech-support,60000,N
Total Loss,skydiving,Single Vehicle Collision,Side Collision,WV,Police,9360,32760,1922.84,431277,649082,46800,24,4680,33,machine-op-inspct,0,N
Minor Damage,basketball,Single Vehicle Collision,Side Collision,WV,Ambulance,8680,52080,1624.82,454656,437573,78120,93,17360,32,exec-managerial,65300,N
Major Damage,yachting,Single Vehicle Collision,Rear Collision,NY,Police,6920,48440,1277.25,605169,964657,69200,171,13840,34,exec-managerial,84900,Y
Minor Damage,exercise,Vehicle Theft,?,VA,Police,410,2870,1439.34,444822,932502,3690,200,410,40,sales,45300,N
Minor Damage,golf,Multi-vehicle Collision,Rear Collision,SC,Fire,6550,52400,1281.27,447442,434507,65500,120,6550,28,tech-support,68900,N
Minor Damage,basketball,Multi-vehicle Collision,Rear Collision,NC,Fire,6920,55360,1348.83,474360,935277,76120,325,13840,46,prof-specialty,46300,N
Total Loss,hiking,Multi-vehicle Collision,Front Collision,VA,Other,12260,49040,1198.15,447925,756054,73560,124,12260,32,other-service,0,N
Total Loss,camping,Single Vehicle Collision,Rear Collision,NY,Police,4730,37840,1221.22,451586,682387,52030,211,9460,35,machine-op-inspct,76000,N
Trivial Damage,video-games,Vehicle Theft,?,SC,,940,3760,968.74,477519,456604,5170,287,470,41,transport-moving,0,N
Minor Damage,video-games,Parked Car,?,SC,,1260,5040,1220.71,603639,139872,8190,122,1890,34,machine-op-inspct,58600,N
Major Damage,yachting,Single Vehicle Collision,Rear Collision,SC,Ambulance,14160,49560,1238.62,463993,354105,70800,22,7080,29,exec-managerial,0,Y
Total Loss,video-games,Multi-vehicle Collision,Rear Collision,WV,Police,5070,35490,1320.75,441491,165485,45630,106,5070,31,farming-fishing,54100,N
Major Damage,cross-fit,Single Vehicle Collision,Front Collision,NC,Police,15280,76400,990.98,469429,515050,99320,398,7640,58,exec-managerial,0,Y
Major Damage,polo,Multi-vehicle Collision,Side Collision,NC,Fire,6400,44800,1398.51,472214,795686,64000,214,12800,41,tech-support,0,Y
Minor Damage,golf,Single Vehicle Collision,Front Collision,WV,Fire,4730,37840,1355.08,614945,395983,47300,209,4730,38,other-service,58100,N
Major Damage,reading,Single Vehicle Collision,Rear Collision,SC,Other,8960,53760,1384.51,476727,119513,71680,82,8960,27,adm-clerical,13100,Y
Major Damage,skydiving,Single Vehicle Collision,Side Collision,SC,Other,17280,77760,847.03,438555,217938,112320,193,17280,41,craft-repair,0,Y
Total Loss,base-jumping,Single Vehicle Collision,Side Collision,NY,Other,15040,60160,1000.06,440961,203914,82720,134,7520,32,farming-fishing,0,N
Major Damage,polo,Multi-vehicle Collision,Rear Collision,NC,Fire,5340,32040,1046.71,616714,565157,48060,288,10680,45,priv-house-serv,0,N
Total Loss,kayaking,Multi-vehicle Collision,Rear Collision,NY,Police,9780,44010,1158.03,434247,904191,63570,104,9780,32,exec-managerial,31900,Y
Total Loss,paintball,Multi-vehicle Collision,Rear Collision,WV,Fire,10540,42160,1372.27,436547,419510,63240,431,10540,54,craft-repair,17600,N
Minor Damage,reading,Multi-vehicle Collision,Rear Collision,NC,Ambulance,9040,36160,1053.04,619540,575000,54240,101,9040,33,other-service,52000,Y
Major Damage,bungie-jumping,Single Vehicle Collision,Front Collision,NY,Police,0,37280,1275.39,466283,120485,37280,375,0,50,sales,0,Y
Minor Damage,exercise,Multi-vehicle Collision,Rear Collision,NY,Police,14420,50470,1402.75,449557,781181,72100,461,7210,61,exec-managerial,0,N
Minor Damage,hiking,Parked Car,?,WV,,650,4550,1344.36,473329,299796,6500,428,1300,59,prof-specialty,0,N
Total Loss,movies,Multi-vehicle Collision,Front Collision,WV,Ambulance,13040,52160,1197.71,470117,589749,78240,45,13040,38,machine-op-inspct,29000,N
Minor Damage,video-games,Vehicle Theft,?,NY,Police,620,4340,1203.24,600702,854021,6200,136,1240,29,transport-moving,62500,N
Minor Damage,reading,Parked Car,?,VA,Police,1680,3920,1152.4,615921,454086,6160,216,560,36,priv-house-serv,39600,N
Total Loss,dancing,Single Vehicle Collision,Front Collision,SC,Ambulance,11700,52650,1142.62,475588,139484,76050,278,11700,48,farming-fishing,0,N
Total Loss,polo,Multi-vehicle Collision,Side Collision,NY,Ambulance,13240,59580,1332.07,609409,678849,86060,295,13240,48,exec-managerial,49700,N
Major Damage,sleeping,Single Vehicle Collision,Front Collision,SC,Fire,21580,75530,1166.54,479852,346940,107900,112,10790,30,prof-specialty,47700,Y
Total Loss,polo,Multi-vehicle Collision,Rear Collision,PA,Fire,18180,63630,1495.06,452249,985436,99990,122,18180,34,prof-specialty,38100,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Side Collision,WV,Ambulance,5580,44640,1337.92,441536,237418,61380,108,11160,29,armed-forces,71400,N
Major Damage,board-games,Single Vehicle Collision,Rear Collision,WV,Fire,12960,45360,1587.96,601617,335780,71280,14,12960,28,craft-repair,0,Y
Minor Damage,yachting,Multi-vehicle Collision,Front Collision,NY,Ambulance,6400,44800,1362.29,442598,491392,64000,298,12800,45,farming-fishing,0,N
Trivial Damage,bungie-jumping,Parked Car,?,SC,Police,660,4620,1448.84,430987,140880,5940,276,660,46,machine-op-inspct,0,N
Minor Damage,movies,Parked Car,?,NY,,670,5360,1241.97,430104,962591,6700,47,670,37,other-service,75400,N
Minor Damage,hiking,Multi-vehicle Collision,Rear Collision,NY,Police,7960,31840,1124.6,612904,922565,51740,222,11940,42,armed-forces,0,N
Total Loss,hiking,Single Vehicle Collision,Rear Collision,PA,Ambulance,6700,40200,1079.92,430886,288580,53600,119,6700,28,machine-op-inspct,88800,Y
Total Loss,board-games,Multi-vehicle Collision,Rear Collision,SC,Other,4990,34930,1447.78,467947,154280,44910,73,4990,29,protective-serv,35100,N
Major Damage,kayaking,Multi-vehicle Collision,Front Collision,PA,Fire,7400,29600,1229.16,604804,425973,48100,8,11100,31,transport-moving,0,N
Trivial Damage,kayaking,Vehicle Theft,?,WV,,1220,4270,1226.49,460308,477177,6100,294,610,44,farming-fishing,53900,N
Minor Damage,board-games,Single Vehicle Collision,Rear Collision,PA,Other,15920,47760,897.89,618862,648509,79600,324,15920,46,tech-support,0,N
Minor Damage,dancing,Single Vehicle Collision,Front Collision,OH,Ambulance,8560,59920,1706.79,462479,914815,77040,155,8560,34,protective-serv,0,N
Minor Damage,kayaking,Single Vehicle Collision,Rear Collision,SC,Fire,11380,39830,1254.18,457555,249048,62590,261,11380,45,prof-specialty,0,N
Total Loss,skydiving,Single Vehicle Collision,Front Collision,WV,Other,13100,58950,885.08,459984,144323,85150,245,13100,40,armed-forces,27000,N
Trivial Damage,exercise,Vehicle Theft,?,NY,,900,3600,1046.58,434982,651861,4950,235,450,39,tech-support,0,N
Major Damage,basketball,Multi-vehicle Collision,Side Collision,VA,Fire,5110,35770,1712.68,614233,125324,51100,53,10220,36,handlers-cleaners,72200,N
Minor Damage,reading,Single Vehicle Collision,Side Collision,SC,Police,16800,67200,1097.71,605258,398102,100800,426,16800,54,adm-clerical,29600,N
Total Loss,exercise,Single Vehicle Collision,Side Collision,VA,Police,16540,57890,1363.77,604377,514065,90970,111,16540,27,tech-support,51100,N
Minor Damage,cross-fit,Single Vehicle Collision,Rear Collision,SC,Police,7440,59520,1382.88,434923,391652,81840,86,14880,26,tech-support,0,Y
Major Damage,sleeping,Single Vehicle Collision,Front Collision,NY,Ambulance,5490,43920,1141.35,476456,922167,54900,296,5490,46,craft-repair,0,N
Total Loss,cross-fit,Single Vehicle Collision,Front Collision,NY,Fire,16120,64480,1054.83,446788,442795,88660,125,8060,35,tech-support,0,Y
Total Loss,bungie-jumping,Multi-vehicle Collision,Front Collision,NC,Ambulance,2250,13500,1057.77,477382,226330,18000,177,2250,34,tech-support,0,N
Minor Damage,exercise,Vehicle Theft,?,NY,Police,550,3850,1488.02,600275,134430,5500,238,1100,39,protective-serv,0,N
Major Damage,hiking,Multi-vehicle Collision,Rear Collision,WV,Other,6720,53760,920.3,461958,524230,73920,81,13440,25,tech-support,51000,Y
Total Loss,polo,Single Vehicle Collision,Rear Collision,VA,Ambulance,18520,64820,986.53,472720,438817,101860,128,18520,28,adm-clerical,62700,N
Minor Damage,movies,Parked Car,?,SC,,980,3430,1440.68,442395,293794,5390,449,980,57,tech-support,25000,N
Minor Damage,hiking,Single Vehicle Collision,Side Collision,SC,Police,5610,39270,1086.21,455340,868283,50490,252,5610,39,farming-fishing,68500,N
Total Loss,basketball,Single Vehicle Collision,Front Collision,SC,Police,11100,38850,1367.68,613247,828890,55500,359,5550,47,handlers-cleaners,0,N
